Тикер,Название,"Количество, шт.",Средняя цена,Текущая цена,Стоимость покупок,Стоимость продаж,Текущая стоимость,Дивиденды,"Прибыль по дивидендам, %",Курсовая прибыль,"Курсовая прибыль, %",Прибыль по сделкам,"Прибыль по сделкам, %",Прибыль,"Прибыль, %","Доходность, % год.",P/L за день,"P/L за день, %",Комиссия,Текущая доля
INTC,Intel,70,52.58,57.37,6001.13,2339.1,4015.9,46.82,1.9,336.65,9.15,21.21,0.86,400.69,16.28,18.68,0,0,3.99,15.97
BTI,British American Tobacco p.l.c.,90,35.49,39.05,4889,1759.76,3514.5,99.93,5.36,321.66,10.07,66.79,3.58,485.19,26.02,30.64,0,0,3.19,13.98
OKE,"ONEOK, Inc.",55,41.14,53.95,2548.22,546.86,2967.25,84.98,6.19,705.59,31.2,261.52,19.06,1050.87,76.58,127.06,0,0,1.22,11.8
VLO,Valero,35,57.74,83.24,6296.75,5207.66,2913.4,26.46,2.47,893.29,44.22,935.94,87.35,1850.77,172.72,259.44,0,0,4.92,11.59
KMI,"Kinder Morgan, Inc.",85,15.1,18.78,1283.72,0,1596.3,33.62,3.94,313.2,24.41,0,0,346.2,40.54,89.68,0,0,0.62,6.35
PPL,PPL Corporation,55,28.79,28.99,1583.37,0,1594.45,0,0,11.75,0.74,0,0,11.08,1.1,7.28,0,0,0.67,6.34
IBM,IBM,10,120.79,147.42,1796.42,614.2,1474.2,0,0,266.93,22.11,26.26,2.88,291.98,32.01,58.41,0,0,1.21,5.86
WMB,"The Williams Companies, Inc.",40,23.03,27.95,921.33,0,1118,11.07,1.55,197.1,21.4,0,0,207.74,29.03,90.57,0,0,0.43,4.45
TOT,Total S.A.,20,45.67,48.57,1142.35,239.95,971.4,0,0,58.4,6.4,11.1,1.34,69,8.35,63.51,0,0,0.5,3.86
XOM,Exxon,15,58.01,61.45,1151.03,309.7,921.75,0,0,52.05,5.98,29.1,3.61,80.42,9.97,75.83,0,0,0.73,3.67
VALE,Vale,40,17.77,22.45,1214.71,547.6,898,0,0,187.65,26.42,44.05,11.89,230.89,62.34,137.9,0,0,0.81,3.57
PFE,Pfizer,20,35,39.15,874.36,181.55,783,0,0,83.3,11.91,7.45,1.11,90.19,13.45,41.95,0,0,0.56,3.11
TSM,Taiwan Semiconductor,5,117.27,119.51,704.01,116.11,597.55,0,0,11.5,1.96,-1.43,-0.24,9.65,1.65,11.57,0,0,0.42,2.38
BGS,B&G Foods Inc.,15,33.81,31.37,959.4,523.37,470.55,0,0,-36.45,-7.19,71.35,20.45,34.52,9.9,722.42,0,0,0.38,1.87
HBAN,Huntington Bancshares Incorporated,30,12.85,15.63,761.64,448.04,468.9,10.8,3.11,83.55,21.68,72.32,20.8,166.1,47.77,71.46,0,0,0.57,1.86
ETRN,Equitrans Midstream,45,08.01,09.05,360.53,0,407.25,06.08,1.69,46.9,13.02,0,0,52.8,14.65,111.36,0,0,0.18,1.62
NEE,"NextEra Energy, Inc.",5,79.12,72.34,395.61,0,361.7,0,0,-33.71,-8.53,0,0,-33.91,-8.83,-59.72,0,0,0.2,1.44
SCCO,Southern Copper Corporation,1,74.61,71.15,74.61,0,71.15,0,0,-3.44,-4.61,0,0,-3.46,-4.64,-94.04,0,0,0.02,0.28
